Linux 3.10.0-1160.el7.x86_64 (test-deid) 	西元2023年06月06日 	_x86_64_	(8 CPU)

11時15分47秒     CPU     %user     %nice   %system   %iowait    %steal     %idle
14時37分47秒     all      0.87      0.00      0.66      0.00      0.00     98.47
14時38分47秒     all      0.94      0.00      0.72      0.00      0.00     98.33
14時39分47秒     all      0.93      0.00      0.70      0.01      0.00     98.36
14時40分47秒     all      0.92      0.00      0.77      0.00      0.00     98.31
14時41分47秒     all      0.93      0.00      0.72      0.00      0.00     98.35
14時42分47秒     all      0.97      0.00      0.85      0.00      0.00     98.18
14時43分47秒     all      0.89      0.00      0.69      0.00      0.00     98.42
14時44分47秒     all      0.84      0.00      0.64      0.00      0.00     98.51
14時45分47秒     all      0.90      0.00      0.70      0.00      0.00     98.40
14時46分47秒     all      0.92      0.00      0.73      0.00      0.00     98.35
14時47分47秒     all      0.91      0.00      0.72      0.00      0.00     98.37
14時48分47秒     all      0.97      0.00      0.78      0.00      0.00     98.24
14時49分47秒     all      0.94      0.00      0.69      0.00      0.00     98.37
14時50分47秒     all      0.91      0.00      0.79      0.00      0.00     98.30
14時51分47秒     all      0.96      0.00      0.71      0.00      0.00     98.32
14時52分47秒     all      0.98      0.00      0.88      0.00      0.00     98.14
14時53分47秒     all      0.92      0.00      0.69      0.00      0.00     98.39
14時54分47秒     all      0.89      0.00      0.73      0.00      0.00     98.38
14時55分47秒     all      0.98      0.00      0.74      0.00      0.00     98.27
14時56分47秒     all      0.90      0.00      0.73      0.00      0.00     98.37
14時57分47秒     all      1.01      0.00      0.73      0.00      0.00     98.26
14時58分47秒     all      0.90      0.00      0.79      0.00      0.00     98.31
14時59分47秒     all      0.92      0.00      0.71      0.01      0.00     98.37
15時00分47秒     all      0.91      0.00      0.78      0.00      0.00     98.31
15時01分47秒     all      1.03      0.00      0.82      0.00      0.00     98.15
15時02分47秒     all      1.06      0.00      0.88      0.00      0.00     98.06
15時03分47秒     all      0.93      0.00      0.72      0.00      0.00     98.35
15時04分47秒     all      0.90      0.00      0.72      0.00      0.00     98.38
15時05分47秒     all      0.92      0.00      0.72      0.00      0.00     98.36
15時06分47秒     all      0.94      0.00      0.71      0.01      0.00     98.33
15時07分47秒     all      1.03      0.00      0.74      0.01      0.00     98.22
15時08分47秒     all      0.90      0.00      0.71      0.00      0.00     98.39
15時09分47秒     all      1.35      0.00      0.78      0.01      0.00     97.86
15時10分47秒     all      0.94      0.00      0.80      0.00      0.00     98.26
15時11分47秒     all      0.96      0.00      0.71      0.00      0.00     98.33
15時12分47秒     all      0.90      0.00      0.83      0.00      0.00     98.26
15時13分47秒     all      0.94      0.00      0.70      0.00      0.00     98.36
15時14分47秒     all      0.88      0.00      0.70      0.00      0.00     98.42
15時15分47秒     all      0.95      0.00      0.76      0.00      0.00     98.29
15時16分47秒     all      0.94      0.00      0.73      0.01      0.00     98.32
15時17分47秒     all      0.93      0.00      0.71      0.00      0.00     98.35
